,popularity,director,vote_average,release_year,budget_adj,revenue_adj,net_profit
9633,0.481348,Fred Schepisi,6.4,1987,0.0,76860868.0115966,76860868.0115966
10092,0.214532,Fred Schepisi,6.4,1990,38381315.2789664,0.0,-38381315.2789664
10325,0.362595,Fred Schepisi,6.3,1993,0.0,0.0,0.0
9477,0.634251,James Signorelli,6.1,1988,0.0,10318906.4841165,10318906.4841165
972,0.35561,Jim Weedon,5.6,2014,0.0,0.0,0.0
4909,0.029385,Boris Rodriguez,6.1,2012,0.0,1549.98266716686,1549.98266716686
1084,0.228495,Carlos Marques-Marcet,6.2,2014,0.0,0.0,0.0
194,0.747541,Jon Cassar,5.6,2015,10119995.5472019,0.0,-10119995.5472019
3220,0.230107,Jon Cassar,6.8,2008,0.0,0.0,0.0
856,0.599079,Charles Martin Smith,6.8,2014,33159277.8277725,48287768.187173,15128490.3594005
3610,0.455555,Charles Martin Smith,6.6,2011,35867727.5758844,92484835.7064197,56617108.130535305
5213,0.080522,Charles Martin Smith,4.5,2003,0.0,0.0,0.0
5328,0.436806,Charles Martin Smith,5.3,1997,4075380.96321629,31440883.5425928,27365502.57937651
10540,0.345381,Charles Martin Smith,5.0,1986,0.0,13522429.0652276,13522429.0652276
9959,0.188379,Lee H. Katzin,6.8,1971,0.0,0.0,0.0
919,0.453382,E.L. Katz,5.4,2014,0.0,6605.14392508213,6605.14392508213
5701,0.400903,E.L. Katz,6.0,2013,0.0,0.0,0.0
2169,0.379104,Erik White,5.8,2010,0.0,0.0,0.0
1568,0.510379,J Blakeson,6.3,2009,813120.347299962,881944.886296299,68824.5389963371
7416,1.672137,Stephen J. Anderson,6.7,2007,157750287.394731,178082172.966038,20331885.571307003
5241,2.064658,Jean-Pierre Jeunet,5.9,1997,95092222.4750467,220070572.013679,124978349.5386323
5772,0.312975,Jean-Pierre Jeunet,6.7,2013,30889100.640434,8887439.1812329,-22001661.4592011
7058,0.756105,Jean-Pierre Jeunet,6.9,2004,54258933.7911709,0.0,-54258933.7911709
2773,0.348262,Emmett Malloy,6.1,2001,29555714.8006522,18204689.8269352,-11351024.973717
4462,0.948869,Declan Donnellan,5.1,2012,8547698.53217021,7885974.65132513,-661723.8808450801
6553,0.001983,Amol Palekar,6.2,2005,0.0,0.0,0.0
7760,0.138624,Tom Roberts,5.4,2007,0.0,0.0,0.0
5951,0.138832999999999,Kohl Glass,3.9,2013,0.0,0.0,0.0
3781,0.047609,William Shatner,6.2,2011,0.0,0.0,0.0
9195,1.190512,William Shatner,5.3,1989,52769548.1712976,123480742.720836,70711194.5495384
1188,0.093198,Jack Bryan,4.6,2014,460545.525385729,0.0,-460545.525385729
3241,0.204302,Tatia Rosenthal,6.1,2008,0.0,0.0,0.0
47,2.968254,Jake Schreier,6.2,2015,11039995.1424021,78671281.3846362,67631286.2422341
4628,0.380291,Jake Schreier,6.7,2012,2374360.70338061,3157935.8257789,783575.1223982903
3657,0.374156,Carlo Ledesma,5.3,2011,130868.735749848,0.0,-130868.735749848
6763,0.500077,AgustÃ­n DÃ­az Yanes,5.7,2006,25960059.7989977,25226638.3528947,-733421.4461029992
6232,1.212451,Steve Box,6.6,2005,33496898.6896348,214885767.201243,181388868.5116082
8836,0.16315,Joan Chen,5.8,2000,82308987.432304,0.0,-82308987.432304
7284,0.321141,Irwin Allen,7.7,1972,26072804.6568114,440959531.356979,414886726.7001676
10164,0.144105999999999,Irwin Allen,6.0,1960,0.0,0.0,0.0
10796,0.205701,Irwin Allen,6.7,1978,0.0,0.0,0.0
1366,0.078067,Carl Reiner,5.6,1977,0.0,149981572.165551,149981572.165551
6153,0.278621,Carl Reiner,7.1,1985,0.0,50050127.7621404,50050127.7621404
7850,0.516572,Carl Reiner,7.0,1979,0.0,222221077.487147,222221077.487147
7939,0.354864,Carl Reiner,6.2,1984,0.0,0.0,0.0
8012,0.504901,Carl Reiner,5.9,1983,22112051.1773572,0.0,-22112051.1773572
8909,0.576708,Carl Reiner,6.1,1982,0.0,41116837.2960305,41116837.2960305
9674,0.264653,Carl Reiner,6.1,1987,0.0,67387411.8686297,67387411.8686297
10330,0.337421,Carl Reiner,5.4,1993,0.0,0.0,0.0
6802,0.293239,Scott Glosserman,6.6,2006,0.0,74782.2789276461,74782.2789276461
6494,0.157577,Brian W. Cook,5.8,2005,0.0,0.0,0.0
1870,0.148198,Dylan Avery,6.0,2009,0.0,0.0,0.0
7813,0.0655429999999999,Dylan Avery,5.1,2007,6310.01149578927,6310.01149578927,0.0
4139,0.166284,Si-myung Lee,4.2,2002,0.0,0.0,0.0
836,0.671825,Paul Schrader,4.4,2014,13816365.7615718,0.0,-13816365.7615718
4119,0.22758,Paul Schrader,5.9,2002,8485829.75534383,2499763.00289754,-5986066.75244629
5389,0.214637,Paul Schrader,5.0,1997,8150761.92643258,8599127.18924371,448365.2628111299
5775,0.510294999999999,Paul Schrader,4.4,2013,234008.338185106,53190.0952694746,-180818.2429156314
6165,0.214009,Paul Schrader,6.3,1985,10135830.2613321,1019173.95010536,-9116656.31122674
6349,0.453059,Paul Schrader,4.6,2005,33496898.6896348,280810.084531656,-33216088.605103143
7348,0.283507,Paul Schrader,5.8,1980,12700976.4140221,60180597.3004603,47479620.886438206
7867,0.167108,Paul Schrader,6.1,1979,0.0,0.0,0.0
8892,1.381187,Paul Schrader,6.0,1982,0.0,0.0,0.0
10797,0.204494,Paul Schrader,6.6,1978,0.0,0.0,0.0
4165,0.02912,Perry Andelin Blake,4.1,2002,0.0,0.0,0.0
7735,0.169079,Tomm Coker,4.4,2007,0.0,0.0,0.0
9738,0.323826,Ken Hughes,6.6,1968,62689636.1493517,0.0,-62689636.1493517
10400,1.975304,Ken Hughes,5.4,1967,78441164.8774454,272875358.950038,194434194.07259262
2339,0.252609,Eric Bross,5.7,2010,0.0,0.0,0.0
3194,0.265883,Eric Bross,4.7,2008,0.0,0.0,0.0
7787,0.100014,Eric Bross,4.8,2007,0.0,0.0,0.0
1178,0.151929,Kevin O'Neill,3.7,2014,0.0,0.0,0.0
2366,0.090543,Danish Aslam,6.0,2010,0.0,427628.0,427628.0
3217,0.234772,Susan Montford,4.7,2008,6076719.802855,396414.816339246,-5680304.986515754
624,0.017625,Maclain Nelson,6.5,2015,0.0,674042.303421386,674042.303421386
5843,0.228779,Maclain Nelson,4.4,2013,0.0,0.0,0.0
1574,0.493969,Bertrand Tavernier,6.0,2009,0.0,0.0,0.0
5944,0.223581,Bertrand Tavernier,5.5,2013,4785027.77210957,0.0,-4785027.77210957
10561,0.314511,Bertrand Tavernier,6.5,1986,0.0,0.0,0.0
8776,0.350814,David Raynr,5.0,2000,18994381.715147,12538970.1398189,-6455411.5753281005
5987,0.099544,Bert Kish,6.8,2013,0.0,0.0,0.0
2498,0.469286,Martha Coolidge,6.1,1999,0.0,0.0,0.0
5375,0.258583,Martha Coolidge,5.6,1997,0.0,0.0,0.0
6124,0.497699,Martha Coolidge,6.8,1985,0.0,26353158.6794634,26353158.6794634
6805,0.287483,Martha Coolidge,4.8,2006,0.0,12384720.2982032,12384720.2982032
7097,0.509946,Martha Coolidge,5.8,2004,0.0,0.0,0.0
8018,0.419263,Martha Coolidge,5.9,1983,766259.19921535,0.0,-766259.19921535
8828,0.174958,Martha Coolidge,5.7,2000,0.0,0.0,0.0
3902,0.013745,Christopher Kezelos,8.1,2011,0.0,0.0,0.0
5398,0.17021,D.J. MacHale,5.8,1997,0.0,0.0,0.0
393,0.283194,Kyle Rankin,5.7,2015,1839999.19040035,0.0,-1839999.19040035
1824,0.15559,Kyle Rankin,5.8,2009,0.0,0.0,0.0
7330,0.427457,Sidney Poitier,6.7,1980,0.0,268043523.070926,268043523.070926
10104,0.146514,Sidney Poitier,4.3,1990,0.0,41234532.6483283,41234532.6483283
3539,0.661177999999999,Jason Winer,5.3,2011,38775921.7036588,44335804.3289439,5559882.625285104
643,6.052479,Bryan Singer,7.6,2014,230272762.692864,687133923.875509,456861161.182645
2897,1.845165,Bryan Singer,6.6,2008,75958997.5356875,202836855.872764,126877858.33707649
5184,0.175002,Bryan Singer,6.7,2003,130388790.926078,254790104.865777,124401313.93969898
5494,1.3317,Bryan Singer,5.5,2013,182526503.784382,185042189.831308,2515686.0469260216
6570,1.957331,Bryan Singer,5.3,2006,292050672.738724,423020463.774305,130969791.035581
8069,3.440238,Bryan Singer,8.0,1995,8585801.20264179,33401010.4343242,24815209.231682412
8826,0.182246,Bryan Singer,6.6,2000,94971908.5757354,199187391.225507,104215482.64977159
1898,0.029831,FrÃ©dÃ©ric Berthe,4.7,2009,0.0,0.0,0.0
10180,0.722259,James Fargo,6.6,1976,34485282.2562877,177162390.044635,142677107.7883473
10785,0.296883,James Fargo,6.4,1978,0.0,0.0,0.0
577,0.080974,Diane Bell,4.8,2015,0.0,0.0,0.0
5836,0.231532,Stuart Connelly,5.1,2013,0.0,0.0,0.0
2554,0.231418,Mark Tarlov,6.2,1999,7854317.07956593,5758509.07258711,-2095808.00697882
482,0.13631,Valeri Milev,4.7,2015,8739996.15440169,0.0,-8739996.15440169
928,0.430844,Valeri Milev,4.9,2014,1105309.26092575,0.0,-1105309.26092575
2585,0.195796,Anne Wheeler,5.8,1999,0.0,0.0,0.0
1277,0.185882,Nickolas Dylan Rossi,6.8,2014,0.0,0.0,0.0
2934,1.14205499999999,Pete Travis,6.2,2008,40511465.3523667,153094337.631464,112582872.2790973
4404,1.653924,Pete Travis,6.5,2012,47487214.0676122,38975360.7841088,-8511853.283503398
6906,0.113193,Nick Guthe,5.6,2006,0.0,0.0,0.0
1088,0.226028,Charlie Siskel,7.8,2014,0.0,1384967.24139677,1384967.24139677
500,0.157172,Chris Rock,7.5,2015,0.0,0.0,0.0
840,0.649574,Chris Rock,6.2,2014,0.0,23427297.822817,23427297.822817
5099,0.362474,Chris Rock,5.4,2003,0.0,0.0,0.0
7708,0.216287,Chris Rock,5.3,2007,11568354.408947,13878076.2752086,2309721.8662615996
204,0.696184,Fouad Mikati,5.0,2015,0.0,0.0,0.0
2133,0.470522,Fouad Mikati,5.4,2010,0.0,0.0,0.0
7793,0.087123,Pearry Reginald Teo,4.8,2007,2629171.45657886,0.0,-2629171.45657886
6071,0.004323,Connor McGuire,7.5,2013,468.016676370212,0.0,-468.016676370212
3332,0.161552,Sacha Gervasi,7.4,2008,0.0,0.0,0.0
4468,0.885627,Sacha Gervasi,6.2,2012,0.0,22385986.5231286,22385986.5231286
4492,0.7202,Robert Lorenz,6.7,2012,0.0,0.0,0.0
5165,0.394501,Byung-chun Min,4.9,2003,7112115.86869516,0.0,-7112115.86869516
1839,0.057316,Olivier Doran,5.7,2009,0.0,0.0,0.0
2947,1.01377,Hayden Schlossberg,6.0,2008,12153439.60571,44049253.637018,31895814.031308003
4390,1.979531,Hayden Schlossberg,6.0,2012,47487214.0676122,223180013.581343,175692799.5137308
1355,0.320214,John Flynn,6.3,1977,0.0,0.0,0.0
4351,0.199897,John Flynn,6.4,1994,0.0,6402415.80056199,6402415.80056199
9215,0.5108,John Flynn,6.1,1989,42215638.5370381,0.0,-42215638.5370381
9375,0.304932,John Flynn,5.6,1991,22415299.7870226,63520414.0938438,41105114.3068212
9699,0.17911,John Flynn,6.2,1987,0.0,8210113.97610629,8210113.97610629
5392,0.206863,Jeb Stuart,5.7,1997,50263031.8796675,8805804.70095194,-41457227.17871556
7156,0.311914,Frank E. Flowers,4.5,2004,0.0,0.0,0.0
2763,0.381873,Barry Skolnick,6.1,2001,0.0,0.0,0.0
853,0.609054,Jack Plotnick,4.4,2014,0.0,0.0,0.0
5755,0.328471,John Huddles,6.3,2013,0.0,0.0,0.0
5941,0.144548,AgnÃ¨s Jaoui,5.7,2013,0.0,0.0,0.0
8845,0.130962,AgnÃ¨s Jaoui,6.4,2000,0.0,0.0,0.0
4944,0.026459,Mark Griffiths,4.7,2012,0.0,0.0,0.0
3223,0.22711,Anne Fontaine,4.7,2008,0.0,0.0,0.0
5566,0.860381,Anne Fontaine,6.2,2013,14976533.6438467,298577.790923846,-14677955.852922853
2287,0.241085,Chris McKay,6.2,2010,0.0,0.0,0.0
1246,0.162234,J.M.R. Luna,5.3,2014,0.0,0.0,0.0
9145,0.188201,John Pieplow,4.8,1998,1471465.01598612,844381.471687073,-627083.5442990471
1122,0.196408,Deon Taylor,5.8,2014,0.0,0.0,0.0
2331,0.150336,Deon Taylor,3.8,2010,0.0,0.0,0.0
1685,0.336167,Karey Kirkpatrick,5.7,2009,55902023.8768724,0.0,-55902023.8768724
6576,1.615244,Karey Kirkpatrick,6.2,2006,86533532.6633258,167679639.016715,81146106.35338919
3736,0.262882,Mike Flanagan,5.7,2011,67857.862981403,0.0,-67857.862981403
5507,1.227417,Mike Flanagan,6.2,2013,4680166.76370212,41213778.7853656,36533612.02166348
32,3.877764,Elizabeth Banks,6.8,2015,26679988.2608051,264505582.097543,237825593.8367379
5535,1.020237,Elizabeth Banks,4.4,2013,5616200.11644254,30363974.6971464,24747774.580703862
4075,0.34303,Peter Kosminsky,7.4,2002,0.0,0.0,0.0
8332,0.269621,Peter Kosminsky,7.0,1992,0.0,0.0,0.0
4084,0.306821,Giacomo Campiotti,5.9,2002,0.0,0.0,0.0
6703,0.546313,Craig Rosenberg,5.9,2006,0.0,0.0,0.0
2379,0.066188,Anil Sharma,5.0,2010,1250000.0,0.0,-1250000.0
6978,2.186534,J. Mackye Gruber,7.1,2004,15007790.1975579,110897015.620108,95889225.4225501
190,0.773909,David Feiss,5.6,2015,0.0,0.0,0.0
5050,0.537976,Vadim Perelman,6.5,2003,19558318.6389117,20083186.8632581,524868.2243463993
7516,0.594693,Vadim Perelman,6.2,2007,8413348.66105236,0.0,-8413348.66105236
1805,0.185586,Albert Pereira-Lazaro,6.6,2009,12705005.4265619,0.0,-12705005.4265619
2479,0.614007,Raja Gosnell,5.7,1999,32726321.164858,110700355.054403,77974033.88954501
3027,0.589940999999999,Raja Gosnell,5.1,2008,20255732.6761833,151190415.230366,130934682.5541827
3494,0.879003,Raja Gosnell,5.5,2011,106633784.685061,546497490.228467,439863705.543406
3957,1.06440499999999,Raja Gosnell,5.3,2002,101829957.064125,334160705.371263,232330748.30713803
5245,1.623577,Raja Gosnell,5.2,1997,43470730.274307,107430458.718088,63959728.443781
5579,0.782462,Raja Gosnell,5.5,2013,98283502.0377446,325209978.489953,226926476.4522084
6370,0.405822,Raja Gosnell,5.7,2005,50245348.0344522,80424660.2828277,30179312.248375505
7003,1.433373,Raja Gosnell,5.2,2004,0.0,209493550.575329,209493550.575329
8693,1.001503,Raja Gosnell,5.7,2000,37988763.4302941,220283464.554964,182294701.1246699
3021,0.603395,Jay Lee,4.4,2008,0.0,0.0,0.0
3754,0.2438,Jay Lee,5.8,2011,0.0,0.0,0.0
673,2.996038,Rob Marshall,5.6,2014,46054552.5385729,196102469.537216,150047916.9986431
1588,0.472113,Rob Marshall,5.0,2009,81312034.7299962,54708276.8129992,-26603757.916997008
2485,0.54872,Rob Marshall,5.5,1999,0.0,0.0,0.0
3375,4.95513,Rob Marshall,6.3,2011,368371256.184759,990417500.348983,622046244.164224
4006,0.608347,Rob Marshall,6.5,2002,54551762.7129246,371893588.664677,317341825.9517524
6206,1.813128,Rob Marshall,7.1,2005,94907879.6206319,181154535.374009,86246655.75337711
1208,0.11619,Keegan Kuhn,7.6,2014,107.76765294026,0.0,-107.76765294026
429,0.241284,Tony Aloupis,5.8,2015,0.0,0.0,0.0
3763,0.233002,Michael Nankin,5.0,2011,0.0,0.0,0.0
404,0.264997,Shari Springer Berman,6.0,2015,0.0,0.0,0.0
2277,0.214381,Shari Springer Berman,5.9,2010,7000000.0,453079.0,-6546921.0
4744,0.221973,Shari Springer Berman,5.7,2012,0.0,0.0,0.0
5143,0.573104,Shari Springer Berman,6.7,2003,0.0,7116367.728632,7116367.728632
7532,0.551406,Shari Springer Berman,6.0,2007,21033371.6526309,50204658.9128544,29171287.260223504
6722,0.488265,Gary Lennon,5.2,2006,5408345.79145786,0.0,-5408345.79145786
7784,0.104888,Hank Braxtan,5.5,2007,0.0,0.0,0.0
1732,0.279941,Cheryl Hines,5.3,2009,0.0,0.0,0.0
3949,1.191235,Kurt Wimmer,6.9,2002,24245227.8724109,6497290.71701139,-17747937.15539951
6605,1.1334,Kurt Wimmer,5.0,2006,32450074.7487471,33607688.9803115,1157614.2315643989
4503,0.657376,Valerie Faris,6.9,2012,0.0,8669515.58292929,8669515.58292929
6649,0.778589,Valerie Faris,7.3,2006,8653353.26633258,108732824.581061,100079471.31472842
3020,0.6067,Robert Stevenhagen,5.7,2008,60767198.02855,51527692.4223709,-9239505.606179096
1022,0.301497,Kiah Roache-Turner,6.0,2014,0.0,0.0,0.0
5340,0.401471,Robert Kurtzman,5.4,1997,6792301.60536048,21380493.1890195,14588191.583659021
7812,0.314058,Robert Kurtzman,2.9,2007,0.0,0.0,0.0
2720,0.555793,David Mirkin,5.6,2001,43102084.0842845,0.0,-43102084.0842845
5329,0.431088,David Mirkin,5.9,1997,0.0,39715067.023036,39715067.023036
4862,0.10568,Amy Heckerling,4.7,2012,15195908.5016359,0.0,-15195908.5016359
6103,0.715873,Amy Heckerling,5.9,1985,0.0,100070283.874198,100070283.874198
7558,0.490256,Amy Heckerling,5.3,2007,25240045.9831571,10071298.923228,-15168747.059929099
7951,0.263961,Amy Heckerling,6.5,1984,0.0,0.0,0.0
8084,1.441055,Amy Heckerling,6.9,1995,17171602.4052835,0.0,-17171602.4052835
8771,0.361563,Amy Heckerling,5.2,2000,0.0,0.0,0.0
8899,0.925383,Amy Heckerling,6.9,1982,10168390.8114805,61220220.455232,51051829.6437515
9193,1.274285,Amy Heckerling,5.7,1989,13192387.0428244,520659541.956803,507467154.91397864
10001,0.731244,Amy Heckerling,5.1,1990,0.0,0.0,0.0
7183,0.250878,Charles S. Dutton,4.8,2004,45023370.5926737,7635825.11906949,-37387545.47360421
1729,0.285338,Glenn Leyburn,5.9,2009,0.0,0.0,0.0
4860,0.110132,Glenn Leyburn,6.3,2012,0.0,0.0,0.0
7294,0.220365,Gerald Thomas,5.7,1972,0.0,0.0,0.0
7305,0.069248,Gerald Thomas,5.8,1972,0.0,0.0,0.0
9752,0.092942,Gerald Thomas,6.4,1968,0.0,0.0,0.0
9895,0.28039,Gerald Thomas,6.1,1964,0.0,0.0,0.0
10166,0.136525,Gerald Thomas,6.0,1960,0.0,0.0,0.0
10417,0.201545,Gerald Thomas,5.9,1967,0.0,0.0,0.0
10436,0.054432,Gerald Thomas,5.5,1967,0.0,0.0,0.0
10676,0.178967,Gerald Thomas,6.5,1970,0.0,0.0,0.0
10746,0.330802,Gerald Thomas,6.0,1969,0.0,0.0,0.0
10753,0.021121,Gerald Thomas,6.4,1969,0.0,0.0,0.0
10845,0.230873,Gerald Thomas,5.9,1966,0.0,0.0,0.0
10860,0.087034,Gerald Thomas,7.0,1966,0.0,0.0,0.0
919,0.453382,Todd Rohal,5.4,2014,0.0,6605.14392508213,6605.14392508213
6176,0.147489,Claude Lanzmann,8.3,1985,0.0,0.0,0.0
9718,0.245929,Paul Sommers,5.8,1987,0.0,0.0,0.0
97,1.758618,Ari Sandel,6.8,2015,7819996.55920151,40046325.6596167,32226329.100415193
7243,0.11766,Michael Clancy,5.9,2004,0.0,0.0,0.0
5848,0.151377999999999,Mark Mori,7.0,2013,0.0,0.0,0.0
3793,0.103268,David Keating,6.3,2011,0.0,0.0,0.0
5827,0.250542,Frank Pavich,8.1,2013,0.0,0.0,0.0
1018,0.306026,Marc Lawrence,5.8,2014,0.0,4102101.10079591,4102101.10079591
1829,0.145905,Marc Lawrence,5.0,2009,58951225.1792473,86678883.1222845,27727657.943037204
3938,1.486895,Marc Lawrence,5.8,2002,72735683.6172328,113170562.996011,40434879.378778204
7513,0.606428,Marc Lawrence,6.1,2007,42066743.3052618,153434683.335753,111367940.0304912
373,0.305916,Mitch Davis,5.8,2015,0.0,0.0,0.0
8430,0.14098,Mickey Rose,4.8,1981,0.0,0.0,0.0
3775,0.208455,Howie Askins,4.8,2011,0.0,0.0,0.0
2827,0.151506,Mark Rydell,6.7,2001,0.0,0.0,0.0
4318,0.416428,Mark Rydell,4.6,1994,66200020.2719173,31416901.1005532,-34783119.1713641
7287,0.265891,Mark Rydell,6.6,1972,0.0,39109206.9852172,39109206.9852172
8386,0.683132,Mark Rydell,6.6,1981,0.0,46179482.9980262,46179482.9980262
9226,0.4669,Dan Kuenster,6.3,1989,24273992.1587969,47668539.3406656,23394547.181868702
489,0.172245,Saverio Costanzo,6.2,2015,0.0,6367.31719838043,6367.31719838043
7594,0.420215,David McKay,6.9,2007,0.0,0.0,0.0
5312,0.551245,Bill Duke,6.4,1997,40753809.6321629,0.0,-40753809.6321629
8348,0.134051,Bill Duke,6.2,1992,0.0,0.0,0.0
9397,0.275786,Bill Duke,6.0,1991,12808742.7354415,16651365.5560739,3842622.8206324
10248,0.830934,Bill Duke,5.8,1993,57359858.5445509,86521352.5092372,29161493.964686297
2419,1.945894,Kevin Lima,6.9,1999,0.0,0.0,0.0
5225,0.038236,Kevin Lima,4.6,2003,0.0,0.0,0.0
7422,1.488671,Kevin Lima,6.6,2007,89391829.5236814,358080166.382383,268688336.8587016
8090,1.210502,Kevin Lima,6.6,1995,0.0,50582671.1057166,50582671.1057166
8759,0.410235,Kevin Lima,5.0,2000,107634829.719166,232506137.717878,124871307.99871202
6173,0.175287,Larry Cohen,5.7,1985,3446182.28885291,0.0,-3446182.28885291
8952,0.11127,Larry Cohen,4.7,1982,0.0,0.0,0.0
9784,0.247092,Larry Cohen,5.4,1974,0.0,0.0,0.0
259,0.476341,Alex Zamm,7.6,2015,0.0,0.0,0.0
949,0.397644,Alex Zamm,6.1,2014,0.0,0.0,0.0
1198,0.130097,Alex Zamm,5.4,2014,7368728.40617167,0.0,-7368728.40617167
3521,0.767071,Alex Zamm,5.0,2011,0.0,11632776.5110976,11632776.5110976
4554,0.495039,Alex Zamm,4.9,2012,4748721.40676122,0.0,-4748721.40676122
5123,0.315387,Alex Zamm,4.3,2003,94828211.5826022,0.0,-94828211.5826022
7743,0.160367,Alex Zamm,5.1,2007,3155005.74789463,0.0,-3155005.74789463
919,0.453382,Larry Fessenden,5.4,2014,0.0,6605.14392508213,6605.14392508213
6909,0.108669,Larry Fessenden,5.9,2006,0.0,0.0,0.0
6743,0.407429,DaniÃ¨le Thompson,6.2,2006,0.0,0.0,0.0
607,0.079539,Peter Hutchings,4.0,2015,0.0,0.0,0.0
911,0.466921,LluÃ­s QuÃ­lez,4.5,2014,0.0,0.0,0.0
2531,0.323791,Rodman Flender,6.1,1999,32726321.164858,5435488.50121434,-27290832.66364366
3840,0.129723,Rodman Flender,5.7,2011,0.0,217105.416220743,217105.416220743
4309,0.270267,Rodman Flender,5.5,1994,2942223.12319632,3325627.16060316,383404.0374068399
1224,0.097665,Bruce MacDonald,4.5,2014,0.0,0.0,0.0
4903,0.050524,Dan Cutforth,6.5,2012,11396931.3762269,31082239.3070665,19685307.9308396
597,0.051107,Jen Soska,5.9,2015,0.0,0.0,0.0
919,0.453382,Jen Soska,5.4,2014,0.0,6605.14392508213,6605.14392508213
1145,0.18041,Jen Soska,4.1,2014,0.0,0.0,0.0
4719,0.255854,Jen Soska,5.9,2012,0.0,0.0,0.0
3780,0.202351,ValÃ©rie Donzelli,7.1,2011,0.0,0.0,0.0
4748,0.218643,ValÃ©rie Donzelli,5.3,2012,0.0,0.0,0.0
1577,0.492366,Jane Campion,6.3,2009,8639403.6900621,4512873.82953867,-4126529.8605234297
2539,0.304124,Jane Campion,5.8,1999,0.0,0.0,0.0
5060,0.481708,Jane Campion,4.7,2003,14224231.7373903,27.2631108299981,-14224204.47427947
7751,0.149692,Jane Campion,7.4,2007,0.0,0.0,0.0
8511,0.692109,Jane Campion,6.3,1996,0.0,5133842.42143502,5133842.42143502
10100,0.090323,Jane Campion,6.1,1990,0.0,0.0,0.0
10274,0.634017,Jane Campion,6.8,1993,10566289.7318909,176155144.530239,165588854.7983481
5926,0.161976,Miko Hughes,4.7,2013,0.0,0.0,0.0
7928,0.468552,Charles Band,5.6,1984,0.0,0.0,0.0
8062,0.085136,Charles Band,2.7,1983,0.0,0.0,0.0
3035,0.560837,Matthew Diamond,5.8,2008,0.0,0.0,0.0
4913,0.040014,Matthew Diamond,6.1,2012,0.0,0.0,0.0
6166,0.213085,Philippe Mora,4.7,1985,0.0,0.0,0.0
9313,0.048723,Philippe Mora,4.9,1989,0.0,3376640.7151892,3376640.7151892
69,2.31767,Judd Apatow,6.1,2015,32199985.8320062,129532072.565888,97332086.7338818
1531,0.604388,Judd Apatow,5.5,2009,76230032.5593715,62466935.9856777,-13763096.573693804
4447,1.09533899999999,Judd Apatow,5.5,2012,33241049.8473286,83633328.4263212,50392278.57899259
6207,1.78595,Judd Apatow,6.2,2005,29030645.5310168,122207000.114894,93176354.5838772
7418,1.640237,Judd Apatow,6.0,2007,31550057.4789463,230395891.172914,198845833.6939677
5272,0.933349,Wolfgang Petersen,6.1,1997,115469127.291128,428127476.558069,312658349.266941
6139,0.354754,Wolfgang Petersen,6.7,1985,0.0,24941057.1062812,24941057.1062812
6643,0.826011,Wolfgang Petersen,5.3,2006,173067065.326651,196512046.387165,23444981.060514003
6969,3.177517,Wolfgang Petersen,6.8,2004,202027944.967126,574232515.462641,372204570.495515
7886,2.183891,Wolfgang Petersen,6.8,1984,56674135.0582421,42314185.4520434,-14359949.606198698
8099,1.041497,Wolfgang Petersen,6.1,1995,0.0,271682739.763507,271682739.763507
8730,0.58332,Wolfgang Petersen,5.9,2000,151955053.721176,412503060.62804,260548006.90686402
9426,0.192123,Wolfgang Petersen,6.5,1991,35224042.5224641,18430229.3373364,-16793813.185127698
10227,1.35597,Wolfgang Petersen,6.5,1993,60378798.4679483,267171908.40174,206793109.9337917
5158,0.141822,Marleen Gorris,5.9,2003,0.0,0.0,0.0
474,0.193323,Andrew Bujalski,5.1,2015,0.0,96146.397695585,96146.397695585
6037,0.041774,Andrew Bujalski,6.1,2013,0.0,0.0,0.0
8311,0.452873,Larry Ferguson,5.3,1992,0.0,0.0,0.0
4126,0.030121,Jesse Vaughan,4.4,2002,18911277.7404805,0.0,-18911277.7404805
3898,0.06667,Leslie Small,7.6,2011,0.0,0.0,0.0
5742,0.340767,Leslie Small,7.1,2013,0.0,30169203.9410748,30169203.9410748
6779,0.339084,Billy Kent,5.6,2006,5408345.79145786,0.0,-5408345.79145786
674,2.979181,Noam Murro,6.1,2014,101320015.58486,310941963.895073,209621948.310213
3183,0.278543,Noam Murro,5.5,2008,7089506.43666417,10705118.259044,3615611.822379831
6745,0.405681,Susannah Grant,6.0,2006,27041728.9572893,17478137.0325553,-9563591.924734
4514,0.622156,David Guy Levy,5.7,2012,0.0,0.0,0.0
5815,0.268563,Chris Temple,6.7,2013,0.0,0.0,0.0
4565,0.483986,Pascal Laugier,5.6,2012,17285345.9206108,0.0,-17285345.9206108
2308,0.1776,Josh Reed,5.0,2010,0.0,0.0,0.0
749,1.191423,Peter Sattler,6.7,2014,921091.050771459,0.0,-921091.050771459
1739,0.270283,Scott Hillenbrand,3.7,2009,0.0,268269.746983374,268269.746983374
5053,0.525418,Scott Hillenbrand,4.6,2003,0.0,0.0,0.0
1797,0.182881,Jon Gunn,7.0,2009,2541001.08531238,358596.237163624,-2182404.8481487557
5366,0.276694,Sam Pillsbury,5.6,1997,0.0,0.0,0.0
9364,0.40666,Sam Pillsbury,4.5,1991,0.0,0.0,0.0
163,0.927339,Etan Cohen,5.9,2015,36799983.8080071,97990493.6441828,61190509.8361757
2475,0.636432,Kinka Usher,5.4,1999,89015593.5684139,38960045.2199215,-50055548.3484924
